Score_Rank,University,Country,Number_students,Numb_students_per_Staff,International_Students,Percentage_Female,Percentage_Male,Teaching,Research,Citations,Industry_Income,International_Outlook,Score_Result,Overall_Ranking
16,"University of California, Los Angeles",United States,41066,9.4,17%,54%,46%,83.1,88.6,97.3,51.3,64.1,86.8,86.80
17,University of Toronto,Canada,73370,20.1,21%,59%,41%,76.6,89.5,93.6,50.5,84.7,85.5,85.50
18,Cornell University,United States,22319,9.8,25%,49%,51%,79.7,86.0,96.6,37.1,73.4,85.1,85.10
19,Duke University,United States,15309,4.3,19%,49%,51%,82.4,76.8,97.0,99.9,61.5,84.0,84.00
20,University of Michigan-Ann Arbor,United States,42982,8.3,17%,49%,51%,79.4,86.1,94.9,47.7,59.2,83.8,83.80
21,Northwestern University,United States,17951,12.8,20%,49%,51%,74.2,83.8,97.8,78.4,64.1,83.5,83.50
22,Tsinghua University,China,38783,12.0,11%,34%,66%,86.6,94.0,74.6,100.0,47.4,82.6,82.60
23,Peking University,China,39575,11.5,15%,46%,54%,89.1,90.0,73.2,86.6,59.6,82.3,82.30
24,National University of Singapore,Singapore,30869,17.9,28%,51%,49%,76.8,90.4,76.9,58.8,95.5,81.9,81.90
25,University of Washington,United States,45692,11.1,16%,53%,47%,72.2,82.2,98.6,47.5,60.4,81.6,81.60
26,Carnegie Mellon University,United States,13430,13.6,48%,41%,59%,65.9,82.7,98.2,50.5,80.6,81.3,81.30
26,London School of Economics and Political Science,United Kingdom,10570,12.1,71%,53%,47%,69.0,83.0,92.8,35.1,93.2,81.3,81.30
27,New York University,United States,44466,8.9,33%,57%,43%,76.8,77.5,96.5,38.7,65.4,81.1,81.10
28,University of Edinburgh,United Kingdom,29433,12.8,41%,60%,40%,67.3,74.1,96.4,38.9,93.8,79.3,79.40
29,"University of California, San Diego",United States,33579,13.0,23%,46%,54%,62.6,78.9,97.7,90.3,63.7,78.8,78.80
30,LMU Munich,Germany,34519,34.7,17%,61%,39%,68.4,77.0,88.8,100.0,67.2,77.8,77.80
30,University of Melbourne,Australia,47385,26.3,46%,56%,44%,65.9,74.1,89.8,76.3,93.1,77.8,77.80
31,University of British Columbia,Canada,52108,18.1,32%,55%,45%,61.5,73.2,92.5,43.8,94.4,76.3,76.30
32,University of Hong Kong,Hong Kong,18260,18.2,44%,54%,46%,69.5,77.2,76.6,59.7,98.6,75.9,75.90
33,King�s College London,United Kingdom,26057,12.5,44%,62%,38%,61.3,68.5,94.8,45.6,95.6,75.7,75.70
33,The University of Tokyo,Japan,25913,10.6,12%,0%,0%,85.9,89.6,60.7,77.4,38.2,75.7,75.70
34,�cole Polytechnique F�d�rale de Lausanne,Switzerland,10492,11.4,59%,28%,72%,66.6,66.3,88.3,66.4,98.6,75.4,75.40
34,Georgia Institute of Technology,United States,21372,18.3,27%,33%,67%,60.2,76.4,90.4,61.6,77.1,75.4,75.40
34,University of Texas at Austin,United States,49165,17.2,10%,52%,48%,68.2,76.2,93.2,46.6,39.1,75.4,75.40
35,Karolinska Institute,Sweden,7777,9.0,20%,68%,32%,55.4,71.4,96.1,71.2,81.2,74.7,74.70
36,McGill University,Canada,31294,13.0,29%,58%,42%,65.0,71.9,84.7,42.8,90.4,74.3,74.30
37,Technical University of Munich,Germany,40472,47.8,27%,34%,66%,64.6,70.4,85.5,100.0,72.9,74.1,74.10
38,Heidelberg University,Germany,20800,16.1,18%,54%,46%,67.1,60.3,96.2,54.6,67.5,73.5,73.50
39,KU Leuven,Belgium,45049,36.3,15%,50%,50%,58.7,73.9,85.3,99.3,71.8,73.2,73.20
39,Paris Sciences et Lettres � PSL Research University Paris,France,21298,11.5,26%,46%,54%,71.6,71.4,77.0,52.2,78.7,73.2,73.20
40,The Hong Kong University of Science and Technology,Hong Kong,10125,22.3,31%,0%,0%,57.4,66.1,89.8,71.9,97.7,73.1,73.10
41,University of Illinois at Urbana-Champaign,United States,44916,17.9,24%,47%,53%,63.2,78.0,84.4,47.9,54.3,73.0,72.90
42,"Nanyang Technological University, Singapore",Singapore,25088,15.9,27%,48%,52%,57.6,70.4,84.9,76.5,95.1,72.9,72.90
43,Australian National University,Australia,17359,17.8,44%,52%,48%,54.4,69.7,88.4,46.4,95.5,72.1,72.10
44,University of Wisconsin-Madison,United States,39154,10.0,13%,0%,0%,68.8,70.3,85.3,46.3,47.4,72.0,72.00
45,Washington University in St Louis,United States,13401,7.5,20%,0%,0%,64.2,57.5,98.8,40.7,57.1,71.5,71.50
46,Brown University,United States,9391,10.8,20%,0%,0%,64.0,56.1,94.9,36.5,61.4,70.0,70.00
47,University of North Carolina at Chapel Hill,United States,35419,9.4,8%,57%,43%,59.7,63.2,96.9,43.9,38.0,69.9,69.90
48,"University of California, Davis",United States,39164,12.0,14%,58%,42%,62.4,66.9,83.2,51.4,62.4,69.7,69.70
48,University of Manchester,United Kingdom,37038,14.4,40%,53%,47%,56.9,63.8,85.2,44.7,91.0,69.7,69.70
49,"University of California, Santa Barbara",United States,24089,27.6,16%,52%,48%,47.9,63.6,96.4,84.5,68.1,69.6,69.60
49,Chinese University of Hong Kong,Hong Kong,18340,18.6,32%,0%,0%,55.8,62.8,84.5,55.2,97.8,69.6,69.60
50,Wageningen University & Research,Netherlands,13914,21.3,27%,53%,47%,49.3,57.1,96.1,100.0,81.9,69.4,69.40
51,University of Sydney,Australia,45111,20.1,39%,58%,42%,51.0,61.5,90.7,67.7,89.2,69.3,69.30
52,Boston University,United States,25662,11.6,27%,60%,40%,57.3,55.6,95.7,41.4,64.4,68.4,68.50
53,University of Amsterdam,Netherlands,26723,13.5,18%,56%,44%,48.0,63.4,91.2,45.3,82.0,68.1,68.10
53,University of Southern California,United States,36929,11.7,25%,53%,47%,54.7,59.3,93.1,39.7,66.2,68.1,68.10
54,Seoul National University,South Korea,26182,12.4,12%,0%,0%,72.3,71.6,66.5,86.6,35.8,68.0,68.00
55,Kyoto University,Japan,22566,9.0,9%,24%,76%,73.7,78.1,59.9,66.2,33.7,67.7,67.70
56,University of Queensland,Australia,39144,35.7,34%,55%,45%,49.3,58.7,86.8,80.9,92.5,67.4,67.40
57,Delft University of Technology,Netherlands,18743,20.2,30%,29%,71%,55.3,72.3,63.2,99.4,92.8,66.7,66.70
57,Leiden University,Netherlands,28741,18.7,16%,59%,41%,48.3,65.0,83.1,72.7,79.4,66.7,66.70
58,Erasmus University Rotterdam,Netherlands,23167,20.4,23%,51%,49%,39.4,57.3,97.1,63.6,87.3,66.3,66.30
59,Ohio State University (Main campus),United States,54372,12.5,13%,50%,50%,57.5,56.1,87.3,53.3,59.5,66.1,66.10
60,UNSW Sydney,Australia,44336,35.7,41%,47%,53%,50.2,58.2,82.9,57.9,93.7,65.9,65.90
61,McMaster University,Canada,24412,28.1,17%,55%,45%,44.5,50.1,94.8,94.0,82.7,65.4,65.40
62,University of Groningen,Netherlands,27228,23.8,21%,51%,49%,42.3,55.6,91.6,79.8,82.5,65.0,65.10
62,Humboldt University of Berlin,Germany,33463,56.1,17%,0%,0%,61.8,66.8,67.9,40.2,67.8,65.0,65.00
63,Monash University,Australia,52989,33.9,39%,57%,43%,47.3,56.6,83.8,67.2,89.9,64.7,64.70
63,Utrecht University,Netherlands,31833,14.2,9%,59%,41%,44.1,61.2,88.4,65.3,65.5,64.7,64.70
64,University of Warwick,United Kingdom,20599,13.2,41%,49%,51%,46.9,52.7,88.8,42.8,93.8,64.6,64.60
65,Penn State (Main campus),United States,46204,15.3,16%,46%,54%,55.2,67.1,75.7,52.1,47.4,64.3,64.20
66,University of Minnesota,United States,61120,12.4,11%,52%,48%,55.2,59.3,82.7,78.2,40.2,64.1,64.10
67,Charit� - Universit�tsmedizin Berlin,Germany,7076,17.6,19%,64%,36%,47.6,47.3,94.9,92.7,63.5,64.0,64.00
67,Emory University,United States,12735,4.0,20%,58%,42%,56.0,40.4,98.8,45.4,57.9,64.0,64.00
67,University of Science and Technology of China,China,16245,7.7,4%,0%,0%,64.6,59.5,74.7,79.6,31.3,64.0,64.00
67,Sorbonne University,France,43076,13.5,19%,58%,42%,62.3,50.6,79.9,38.4,69.2,64.0,64.00
68,Michigan State University,United States,44789,16.5,16%,51%,49%,56.6,57.4,80.0,37.8,63.3,63.9,63.90
69,University of Montreal,Canada,36794,20.2,22%,0%,0%,48.2,49.7,86.4,70.0,84.1,63.3,63.40
69,University of Freiburg,Germany,21475,42.8,23%,54%,46%,49.1,51.6,83.1,100.0,75.7,63.3,63.30
70,University of Bristol,United Kingdom,21783,13.6,27%,54%,46%,41.8,48.4,95.5,40.9,86.6,63.2,63.20
71,Purdue University West Lafayette,United States,40451,15.7,23%,43%,57%,57.5,66.4,63.0,64.3,72.0,63.1,63.10
72,Sungkyunkwan University (SKKU),South Korea,23342,19.5,15%,43%,57%,57.6,61.2,70.3,97.3,51.1,63.0,63.00
73,University of Zurich,Switzerland,22609,12.3,21%,57%,43%,47.0,46.7,88.2,53.0,92.2,62.8,62.80
73,"University of Maryland, College Park",United States,33108,16.6,11%,48%,52%,46.9,59.1,89.6,39.2,41.2,62.8,62.70
74,University of T�bingen,Germany,27901,37.5,14%,58%,42%,51.2,56.2,80.1,67.0,64.0,62.7,62.70
75,�cole Polytechnique,France,3030,5.7,40%,22%,78%,59.6,49.1,70.2,69.6,95.2,62.6,62.50
76,University of Basel,Switzerland,11518,15.8,27%,56%,44%,43.0,41.2,91.4,99.4,96.1,62.4,62.40
76,Dartmouth College,United States,6247,7.7,15%,49%,51%,58.4,39.9,96.4,41.0,39.6,62.4,62.40
77,"University of California, Irvine",United States,32706,16.5,26%,52%,48%,43.3,46.5,94.9,58.9,71.9,62.3,62.30
77,University of Helsinki,Finland,22072,16.6,5%,66%,34%,43.4,59.3,88.1,38.1,55.1,62.3,62.30
78,Lund University,Sweden,27266,12.1,19%,54%,46%,40.7,54.3,86.3,81.0,77.7,62.2,62.30
78,University of Glasgow,United Kingdom,25357,15.4,37%,59%,41%,41.1,47.9,91.8,40.0,92.3,62.2,62.20
78,RWTH Aachen University,Germany,45377,61.1,21%,32%,68%,55.6,61.5,67.3,98.1,59.0,62.2,62.20
79,University of Copenhagen,Denmark,31219,4.3,17%,57%,43%,48.1,44.1,89.6,48.1,85.4,62.1,62.10
80,Uppsala University,Sweden,25438,16.7,15%,57%,43%,41.6,56.4,85.0,74.6,68.1,61.9,61.90
81,Georgetown University,United States,16279,8.5,18%,54%,46%,57.3,37.9,93.9,62.5,47.2,61.8,61.90
81,University of Arizona,United States,39124,18.4,10%,52%,48%,52.6,53.7,85.3,52.7,40.2,61.8,61.80
82,Rice University,United States,6667,8.9,28%,42%,58%,49.1,39.7,93.7,45.4,77.0,61.7,61.60
83,University of Bonn,Germany,36352,67.7,13%,55%,45%,47.6,47.0,88.0,93.3,60.3,61.6,61.60
84,University of Virginia (Main campus),United States,23116,8.6,12%,52%,48%,54.4,43.5,91.3,41.6,48.9,61.5,61.50
84,Zhejiang University,China,33427,10.7,22%,23%,77%,66.0,64.7,50.6,100.0,61.8,61.5,61.50
85,Fudan University,China,32537,11.2,12%,53%,47%,61.9,58.6,68.1,58.6,44.8,61.4,61.40
86,Korea Advanced Institute of Science and Technology (KAIST),South Korea,9481,10.2,8%,20%,80%,62.6,66.4,58.1,99.9,35.5,61.3,61.30
86,Queen Mary University of London,United Kingdom,17799,14.1,43%,54%,46%,35.3,43.1,98.0,44.1,96.7,61.3,61.30
87,University of Birmingham,United Kingdom,29542,15.5,29%,57%,43%,39.6,45.6,92.1,39.3,89.2,60.9,60.90
88,University of Bern,Switzerland,11090,16.5,16%,56%,44%,44.5,41.2,86.6,85.0,87.3,60.4,60.40
88,University of Pittsburgh-Pittsburgh campus,United States,26652,5.8,11%,51%,49%,47.4,45.5,95.1,40.7,39.3,60.4,60.40
89,Aarhus University,Denmark,26842,14.4,9%,55%,45%,37.2,54.0,85.4,66.7,74.8,60.3,60.30
89,Vanderbilt University,United States,12006,3.0,14%,54%,46%,48.7,42.1,95.4,47.5,43.0,60.3,60.20
90,Free University of Berlin,Germany,35894,58.2,21%,59%,41%,57.2,63.3,58.4,42.4,71.6,60.1,60.10
90,University of Sheffield,United Kingdom,26218,15.0,34%,50%,50%,45.2,46.4,83.0,45.8,87.3,60.1,60.10
91,Case Western Reserve University,United States,10654,8.8,23%,50%,50%,48.4,39.9,95.3,42.1,52.2,60.0,60.00
92,University of Adelaide,Australia,21093,29.9,29%,49%,51%,34.3,41.6,95.3,64.8,91.7,59.9,59.90
92,National Taiwan University,Taiwan,27254,11.1,11%,40%,60%,57.0,62.7,64.0,65.4,41.9,59.9,59.90
93,University of Southampton,United Kingdom,23863,13.7,34%,53%,47%,40.2,44.3,88.0,40.1,94.2,59.8,59.80
94,Ghent University,Belgium,38080,37.0,10%,54%,46%,43.3,55.5,78.4,80.9,59.5,59.6,59.70
94,University of Colorado Boulder,United States,33186,16.3,11%,44%,56%,44.8,45.6,93.1,41.7,47.3,59.6,59.60
94,University of G�ttingen,Germany,30773,29.1,13%,51%,49%,49.6,48.6,82.0,37.0,60.9,59.6,59.50
95,City University of Hong Kong,Hong Kong,9587,11.0,45%,59%,41%,41.0,48.9,77.6,62.4,99.6,59.3,59.30
96,Maastricht University,Netherlands,16857,18.6,54%,60%,40%,40.2,48.3,77.0,82.9,97.6,59.0,59.00
97,Radboud University Nijmegen,Netherlands,20024,17.5,14%,55%,45%,36.0,49.9,88.2,46.2,73.0,58.9,58.90
97,University of York,United Kingdom,16058,14.9,24%,56%,44%,40.3,46.6,85.1,36.4,85.4,58.9,58.90
98,University of Paris,France,61390,15.5,17%,64%,36%,52.0,36.1,88.3,35.6,66.6,58.8,58.80
99,University of Oslo,Norway,20783,12.6,17%,62%,38%,39.6,43.8,90.0,40.7,75.5,58.7,58.70
99,University of Western Australia,Australia,18400,23.2,29%,49%,51%,32.5,43.9,91.0,57.0,94.3,58.7,58.70
100,Durham University,United Kingdom,16963,14.8,30%,55%,45%,45.5,47.8,75.5,37.9,91.7,58.5,58.50
101,Indiana University,United States,66872,13.6,15%,52%,48%,50.8,49.7,76.7,49.8,53.5,58.4,58.40
101,University of Vienna,Austria,33547,40.2,27%,66%,34%,48.1,55.3,64.6,37.1,94.2,58.4,58.40
102,University of Alberta,Canada,31919,21.0,26%,55%,45%,47.9,48.8,70.3,60.5,87.5,58.2,58.20
102,University of Cape Town,South Africa,21812,11.9,17%,53%,47%,33.2,42.8,90.3,85.3,81.8,58.2,58.20
103,Vrije Universiteit Amsterdam,Netherlands,23025,16.5,10%,58%,42%,35.7,48.1,88.4,52.5,68.8,58.1,58.10
104,Tufts University,United States,11017,9.8,16%,55%,45%,49.1,34.2,94.4,38.6,49.6,58.0,58.00
105,Lancaster University,United Kingdom,12657,12.5,38%,51%,49%,34.7,39.4,92.5,36.0,94.2,57.9,58.00
106,University of Ottawa,Canada,35365,24.7,19%,59%,41%,41.3,42.0,86.2,46.5,77.7,57.8,57.90
106,Ulm University,Germany,10629,27.7,13%,48%,52%,40.6,36.6,94.9,75.7,57.5,57.8,57.90
106,Pompeu Fabra University,Spain,11636,21.6,13%,60%,40%,37.7,40.1,94.4,44.5,66.5,57.8,57.80
107,University of Geneva,Switzerland,16935,15.6,39%,61%,39%,38.1,43.7,80.4,63.3,98.4,57.6,57.60
107,Nanjing University,China,34569,15.5,10%,44%,56%,50.7,48.0,71.8,84.9,57.8,57.6,57.60
108,University of Exeter,United Kingdom,21451,17.6,28%,54%,46%,33.9,38.9,92.4,37.8,91.9,57.4,57.40
108,Pohang University of Science and Technology (POSTECH),South Korea,3215,10.3,3%,23%,77%,51.7,50.9,72.2,99.6,32.9,57.4,57.40
108,University of Sussex,United Kingdom,14978,16.1,39%,54%,46%,35.3,37.9,91.8,35.9,93.6,57.4,57.40
109,University of Hamburg,Germany,30375,59.3,12%,56%,44%,44.4,49.8,74.0,98.5,58.1,57.3,57.30
109,Sant�Anna School of Advanced Studies � Pisa,Italy,776,12.4,19%,35%,65%,45.0,42.3,82.5,84.7,56.0,57.3,57.30
109,Technical University of Berlin,Germany,22622,60.6,24%,34%,66%,50.4,53.9,62.3,92.7,66.2,57.3,57.30
110,Universit� Catholique de Louvain,Belgium,26235,39.3,20%,53%,47%,38.8,51.5,75.7,53.7,80.5,57.2,57.20
110,University of Nottingham,United Kingdom,29699,14.6,29%,54%,46%,42.7,42.6,80.3,39.4,87.5,57.2,57.20
110,Scuola Normale Superiore di Pisa,Italy,558,6.8,11%,29%,71%,57.2,38.1,79.2,35.9,52.8,57.2,57.20
111,Arizona State University (Tempe),United States,46683,21.1,21%,43%,57%,39.3,50.7,81.6,38.5,61.8,57.1,57.10
111,University of Leeds,United Kingdom,30236,14.2,29%,61%,39%,41.1,45.9,78.0,39.9,87.5,57.1,57.10
112,Autonomous University of Barcelona,Spain,31877,12.6,16%,59%,41%,40.9,36.1,92.9,44.8,64.3,56.9,56.90
112,University of Cologne,Germany,36965,36.5,16%,63%,37%,43.6,42.9,81.5,70.6,62.9,56.9,56.90
112,University of Mannheim,Germany,10730,79.9,18%,56%,44%,41.9,50.0,78.2,58.6,58.5,56.9,56.90
112,University of Notre Dame,United States,12104,13.7,12%,45%,55%,52.9,46.2,73.5,38.1,55.3,56.9,56.90
112,Shanghai Jiao Tong University,China,38853,11.1,13%,44%,56%,58.0,63.0,47.9,99.9,49.8,56.9,56.90
112,TU Dresden,Germany,32309,34.2,14%,42%,58%,46.5,48.5,73.0,94.1,55.8,56.9,56.90
113,University of W�rzburg,Germany,24082,36.6,10%,56%,44%,38.7,42.4,87.5,65.6,61.5,56.8,56.80
114,Trinity College Dublin,Ireland,16853,21.9,30%,59%,41%,41.7,43.9,75.4,41.2,94.4,56.4,56.40
115,University of Liverpool,United Kingdom,23057,13.8,33%,55%,45%,35.2,37.5,88.8,38.8,92.2,56.3,56.30
116,Bielefeld University,Germany,24875,77.5,8%,57%,43%,36.1,42.7,91.1,59.4,48.6,56.1,56.10
116,University of Leicester,United Kingdom,14645,14.3,32%,53%,47%,30.1,34.8,96.2,38.1,90.7,56.1,56.10
117,University of Aberdeen,United Kingdom,12399,15.7,39%,57%,43%,30.4,33.3,95.2,45.8,95.7,56.0,56.00
117,University of Bologna,Italy,65819,24.0,12%,56%,44%,51.5,34.8,83.8,45.1,50.7,56.0,56.00
117,"Rutgers, the State University of New Jersey",United States,44801,11.2,17%,52%,48%,47.8,48.5,73.9,41.1,51.5,56.0,56.00
118,Hong Kong Polytechnic University,Hong Kong,20388,23.1,25%,52%,48%,41.0,46.6,71.8,42.3,94.1,55.9,55.90
119,University of Alabama at Birmingham,United States,16927,16.7,6%,62%,38%,39.2,33.6,97.3,74.8,37.4,55.7,55.70
120,Northeastern University,United States,19575,13.9,35%,49%,51%,38.0,27.9,97.5,38.0,75.0,55.6,55.60
120,University of Rochester,United States,9824,4.2,31%,49%,51%,43.4,30.3,91.4,40.9,67.2,55.6,55.60
121,University of Florida,United States,46642,16.8,10%,55%,45%,54.0,53.8,61.9,57.9,40.0,55.4,55.40
121,Karlsruhe Institute of Technology,Germany,27255,25.6,22%,28%,72%,45.4,47.8,66.5,91.3,69.1,55.4,55.40
121,Stockholm University,Sweden,27185,19.5,14%,0%,0%,30.0,46.4,85.0,36.6,81.3,55.4,55.40
122,Texas A&M University,United States,60818,24.8,8%,47%,53%,49.3,54.8,62.8,45.3,54.3,55.3,55.30
122,University of Auckland,New Zealand,32821,22.1,32%,56%,44%,31.4,43.9,80.2,62.4,94.0,55.3,55.20
123,"University of California, Santa Cruz",United States,18783,23.0,10%,50%,50%,33.1,34.9,97.7,39.1,60.6,55.2,55.20
123,Korea University,South Korea,22965,16.0,22%,0%,0%,48.4,50.2,64.5,93.9,52.0,55.2,55.20
123,Queensland University of Technology,Australia,34871,38.2,16%,54%,46%,31.9,40.3,86.4,62.4,81.4,55.2,55.20
124,University of Erlangen-Nuremberg,Germany,38111,57.0,12%,48%,52%,41.1,45.8,75.2,89.6,52.9,54.8,54.90
124,Aalto University,Finland,12195,18.6,26%,34%,66%,41.8,39.4,76.7,48.3,82.3,54.8,54.80
124,Technical University of Denmark,Denmark,9265,6.6,25%,30%,70%,39.4,40.2,73.8,71.6,92.8,54.8,54.80
125,Eindhoven University of Technology,Netherlands,8917,20.7,19%,0%,0%,44.6,48.8,61.0,99.8,78.3,54.7,54.70
125,University of Gothenburg,Sweden,19677,10.2,13%,0%,0%,27.5,41.5,93.5,40.1,65.7,54.7,54.70
126,T�l�com Paris,France,923,5.6,39%,21%,79%,42.6,38.3,74.4,76.6,81.7,54.6,54.60
127,Lomonosov Moscow State University,Russian Federation,29235,7.3,29%,48%,52%,78.2,63.0,15.6,90.7,66.6,54.3,54.30
127,University of M�nster,Germany,43835,43.4,8%,0%,0%,41.0,42.5,81.3,47.5,48.7,54.3,54.30
127,Tel Aviv University,Israel,22414,22.3,7%,55%,45%,41.3,51.3,71.2,41.8,54.7,54.3,54.30
128,University of East Anglia,United Kingdom,15195,13.9,28%,60%,40%,28.3,30.1,97.2,35.7,87.7,54.2,54.20
129,University of Canberra,Australia,10823,36.2,32%,0%,0%,25.2,31.1,99.2,38.6,86.9,54.1,54.10
130,University of Duisburg-Essen,Germany,42698,53.0,19%,48%,52%,34.4,32.8,91.8,71.6,60.0,54.0,54.00
130,University of Technology Sydney,Australia,26385,43.4,34%,51%,49%,33.5,42.9,75.3,50.3,96.1,54.0,54.00
130,University of the Witwatersrand,South Africa,28521,26.3,8%,56%,44%,31.2,43.2,78.8,100.0,73.7,54.0,54.00
131,Yonsei University (Seoul campus),South Korea,17744,14.6,22%,47%,53%,51.2,52.6,53.0,98.9,58.4,53.9,53.90
131,Cardiff University,United Kingdom,25501,13.5,27%,59%,41%,32.5,35.5,87.1,37.8,85.1,53.9,53.80
132,University of Antwerp,Belgium,15166,29.3,17%,55%,45%,35.6,44.5,75.8,72.2,69.6,53.8,53.80
132,George Washington University,United States,23488,13.1,18%,60%,40%,48.6,32.4,81.5,35.0,55.5,53.8,53.80
132,University of Lausanne,Switzerland,12197,9.6,24%,0%,0%,33.1,44.2,73.3,67.8,92.7,53.8,53.80
133,University of St Andrews,United Kingdom,9213,12.7,46%,58%,42%,42.2,41.8,67.8,37.6,96.6,53.7,53.80
133,University of Luxembourg,Luxembourg,4654,18.7,49%,51%,49%,37.9,36.5,75.8,45.2,99.7,53.7,50.1�53.7
134,Newcastle University,United Kingdom,22691,14.1,27%,51%,49%,31.5,36.2,85.5,41.7,87.8,53.6,50.1�53.7
135,Macquarie University,Australia,30234,68.6,29%,52%,48%,37.8,42.6,71.8,53.1,83.9,53.3,50.1�53.7
135,Queen�s University Belfast,United Kingdom,17747,17.2,36%,55%,45%,31.2,35.5,83.7,38.7,96.4,53.3,50.1�53.7
136,Aalborg University,Denmark,16340,13.6,15%,0%,0%,28.5,39.1,87.1,48.0,75.1,53.2,50.1�53.7
136,Ulsan National Institute of Science and Technology (UNIST),South Korea,4127,13.9,8%,26%,74%,27.8,38.6,91.3,80.5,51.9,53.2,50.1�53.7
136,Western University,Canada,29865,23.1,18%,56%,44%,40.2,35.7,76.4,59.1,80.0,53.2,50.1�53.7
137,University of Massachusetts,United States,61204,13.0,15%,48%,52%,38.5,31.1,87.0,49.9,61.7,52.9,50.1�53.7
138,University of Calgary,Canada,28560,16.0,19%,0%,0%,33.9,34.2,84.7,48.1,77.2,52.8,50.1�53.7
139,University of Bergen,Norway,14007,12.5,14%,60%,40%,29.5,29.4,94.1,37.1,78.3,52.7,50.1�53.7
140,University of Hohenheim,Germany,9234,37.8,15%,57%,43%,34.4,31.0,92.0,50.0,55.7,52.6,50.1�53.7
141,University of Barcelona,Spain,46214,11.8,10%,62%,38%,37.3,32.5,87.6,41.2,54.7,52.4,50.1�53.7
142,�cole Normale Sup�rieure de Lyon,France,2362,8.9,13%,48%,52%,45.2,43.5,63.9,47.0,70.7,52.3,50.1�53.7
142,Royal College of Surgeons in Ireland (RCSI),Ireland,2265,21.1,65%,0%,0%,30.1,26.9,90.0,47.5,93.7,52.3,50.1�53.7
143,Hebrew University of Jerusalem,Israel,16137,12.0,5%,56%,44%,48.2,45.1,62.3,41.4,60.3,52.2,50.1�53.7
144,University of South Florida (Tampa),United States,33885,18.9,14%,0%,0%,30.5,34.2,87.3,89.0,54.7,51.9,50.1�53.7
145,University of Otago,New Zealand,18196,20.0,21%,59%,41%,30.2,32.1,84.7,37.0,89.8,51.8,50.1�53.7
146,King Abdulaziz University,Saudi Arabia,32853,7.9,21%,54%,46%,29.5,16.5,96.4,78.9,93.1,51.7,50.1�53.7
146,University of Utah,United States,30365,14.2,8%,47%,53%,39.0,34.7,86.4,48.3,33.0,51.7,50.1�53.7
146,Vita-Salute San Raffaele University,Italy,2610,10.7,3%,59%,41%,38.7,22.4,97.6,35.9,43.1,51.7,50.1�53.7
147,KTH Royal Institute of Technology,Sweden,12659,15.7,20%,33%,67%,40.5,42.7,62.3,50.5,89.0,51.6,50.1�53.7
147,Tilburg University,Netherlands,8033,21.4,15%,50%,50%,36.8,48.8,62.1,55.9,78.2,51.6,50.1�53.7
148,University of Konstanz,Germany,11387,56.1,13%,55%,45%,38.8,44.2,66.4,72.1,65.6,51.5,50.1�53.7
149,Medical University of Graz,Austria,3352,10.9,24%,53%,47%,30.9,25.1,91.7,62.1,74.2,51.4,50.1�53.7
149,Medical University of Vienna,Austria,7142,8.1,30%,52%,48%,33.4,23.5,90.3,53.0,78.8,51.4,50.1�53.7
150,University of Iowa,United States,28945,11.6,12%,52%,48%,43.1,29.5,82.3,54.0,46.5,51.3,50.1�53.7
150,Paris-Sud University,France,28726,14.5,17%,56%,44%,33.7,32.3,85.9,35.1,65.3,51.3,50.1�53.7
